rank,feature_name,importance_value,direction,method,endpoint,component,source_artifact_or_script,caveat
11,fibs_stiffness_med_BM_1_max,0.018044960518389715,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
12,gluc_fast_count,0.017046473181005658,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
13,alt_count,0.01621274796232716,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
14,ggt_delta,0.015327370702418694,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
15,gluc_fast_slope,0.015248929587865763,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
16,fibrotest_BM_2_first,0.01486111590789699,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
17,fibrotest_BM_2_max,0.014217322156887431,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
18,ggt_last,0.013260247644371597,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
19,ggt_std,0.013218441658646158,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
20,fibrotest_BM_2_slope,0.013083595640249667,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
21,fibs_stiffness_med_BM_1_slope,0.012699613292673072,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
22,bilirubin_count,0.012690860343385265,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
23,ggt_count,0.011810375739069236,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
24,fibs_stiffness_med_BM_1_last,0.011722466365156949,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
25,ggt_slope,0.010886066459191487,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
26,fibrotest_BM_2_count,0.009904035362322155,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
27,fibs_stiffness_med_BM_1_count,0.009268628533828873,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
28,fibrotest_BM_2_std,0.008986102054970144,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
29,fibs_stiffness_med_BM_1_min,0.008724287617190055,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
30,fibs_stiffness_med_BM_1_std,0.008116307659448905,,gbsa_native_feature_importances_impurity,death,"GBSA (sksurv GradientBoostingSurvivalAnalysis, n=200, lr=0.05, max_depth=3, subs=0.8, max_features='sqrt', seed=42)",reports/explainability/scripts/compute_death_component_importance.py,"Post-hoc reference single-fit on full training labels; the submitted ensemble averages ranks across 5x10 stratified-by-hep-event CV. Impurity-based importances are biased toward high-cardinality / continuous features; treat as relative ranking, not as effect sizes. GBSA carries weight 0.15 in the final death rank."
